"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"emil","2010-07-12 08:39:00.000","141.102","-11.034","FALSE"
"emil","2010-07-12 13:11:00.000","141.099","-11.041","FALSE"
"emil","2010-07-12 15:22:00.000","141.092","-11.043","FALSE"
"emil","2010-07-12 15:32:00.000","141.092","-11.043","FALSE"
"emil","2010-07-12 17:05:00.000","141.09","-11.046","FALSE"
"emil","2010-07-12 17:13:00.000","141.085","-11.044","FALSE"
"emil","2010-07-12 18:05:00.000","141.085","-11.045","FALSE"
"emil","2010-07-12 19:44:00.000","141.073","-11.056","FALSE"
"emil","2010-07-12 20:02:00.000","141.061","-11.054","FALSE"
"emil","2010-07-13 03:59:00.000","140.947","-11.003","FALSE"
"emil","2010-07-13 12:51:00.000","140.961","-10.918","FALSE"
"emil","2010-07-13 15:12:00.000","140.957","-10.915","FALSE"
"emil","2010-07-13 15:22:00.000","140.956","-10.918","FALSE"
"emil","2010-07-13 16:53:00.000","140.962","-10.913","FALSE"
"emil","2010-07-13 17:02:00.000","140.964","-10.911","FALSE"
"emil","2010-07-13 17:40:00.000","140.968","-10.909","FALSE"
"emil","2010-07-13 19:17:00.000","140.957","-10.913","FALSE"
"emil","2010-07-13 19:50:00.000","140.96","-10.92","FALSE"
"emil","2010-07-13 22:16:00.000","140.915","-10.86","FALSE"
"emil","2010-07-14 08:28:00.000","140.86","-10.783","FALSE"
"emil","2010-07-14 10:09:00.000","140.872","-10.765","FALSE"
"emil","2010-07-14 10:51:00.000","140.866","-10.764","FALSE"
"emil","2010-07-14 11:08:00.000","140.866","-10.765","FALSE"
"emil","2010-07-14 15:01:00.000","140.842","-10.763","FALSE"
"emil","2010-07-14 15:10:00.000","140.841","-10.761","FALSE"
"emil","2010-07-14 16:42:00.000","140.836","-10.757","FALSE"
"emil","2010-07-14 16:51:00.000","140.831","-10.758","FALSE"
"emil","2010-07-14 18:56:00.000","140.838","-10.76","FALSE"
"emil","2010-07-14 19:38:00.000","140.834","-10.748","FALSE"
